id,adminLevel,placeCode,value,countryCodeISO3,indicator
1,3,ET010101,1,ETH,Hotspot_General
2,3,ET010102,1,ETH,Hotspot_General
3,3,ET010103,1,ETH,Hotspot_General
4,3,ET010104,1,ETH,Hotspot_General
5,3,ET010105,1,ETH,Hotspot_General
6,3,ET010106,1,ETH,Hotspot_General
7,3,ET010107,0.1,ETH,Hotspot_General
8,3,ET010108,0.1,ETH,Hotspot_General
9,3,ET010109,1,ETH,Hotspot_General
10,3,ET010110,1,ETH,Hotspot_General
11,3,ET010111,1,ETH,Hotspot_General
12,3,ET010112,1,ETH,Hotspot_General
13,3,ET010113,1,ETH,Hotspot_General
14,3,ET010114,0.1,ETH,Hotspot_General
15,3,ET010115,1,ETH,Hotspot_General
16,3,ET010116,0.1,ETH,Hotspot_General
17,3,ET010201,1,ETH,Hotspot_General
18,3,ET010202,1,ETH,Hotspot_General
19,3,ET010203,1,ETH,Hotspot_General
20,3,ET010204,1,ETH,Hotspot_General
21,3,ET010205,1,ETH,Hotspot_General
22,3,ET010206,1,ETH,Hotspot_General
23,3,ET010207,1,ETH,Hotspot_General
24,3,ET010208,1,ETH,Hotspot_General
25,3,ET010209,1,ETH,Hotspot_General
26,3,ET010210,1,ETH,Hotspot_General
27,3,ET010211,0.1,ETH,Hotspot_General
28,3,ET010212,0.1,ETH,Hotspot_General
29,3,ET010213,0.1,ETH,Hotspot_General
30,3,ET010214,1,ETH,Hotspot_General
31,3,ET010215,1,ETH,Hotspot_General
32,3,ET010216,1,ETH,Hotspot_General
33,3,ET010217,1,ETH,Hotspot_General
34,3,ET010218,1,ETH,Hotspot_General
35,3,ET010219,1,ETH,Hotspot_General
36,3,ET010220,0.1,ETH,Hotspot_General
37,3,ET010221,1,ETH,Hotspot_General
38,3,ET010222,1,ETH,Hotspot_General
39,3,ET010301,1,ETH,Hotspot_General
40,3,ET010302,1,ETH,Hotspot_General
41,3,ET010303,1,ETH,Hotspot_General
42,3,ET010304,1,ETH,Hotspot_General
43,3,ET010305,1,ETH,Hotspot_General
44,3,ET010306,1,ETH,Hotspot_General
45,3,ET010307,1,ETH,Hotspot_General
46,3,ET010308,0.1,ETH,Hotspot_General
47,3,ET010309,0.1,ETH,Hotspot_General
48,3,ET010310,1,ETH,Hotspot_General
49,3,ET010311,0.1,ETH,Hotspot_General
50,3,ET010312,0.1,ETH,Hotspot_General
51,3,ET010313,0.1,ETH,Hotspot_General
52,3,ET010314,1,ETH,Hotspot_General
53,3,ET010315,0.1,ETH,Hotspot_General
