stationCode,stationName,lat,lon,fid
G1045,Tendaho,11.75,40.95000076,G1045
G1053,Adaitu,11.35000038,40.95000076,G1053
G1067,Melka Sedi,9.149999619,40.15000153,G1067
G1074,Metahara,8.850000381,39.95000076,G1074
G1603,Gambella,8.25,34.95000076,G1603
G1901,Omo River Delta,4.849999905,36.04999924,G1901
G1902,Na,4.75,42.04999924,G1902
G1904,Na,5.050000191,44.84999847,G1904
G1907,Na,6.050000191,43.04999924,G1907
G4951,Na,11.14999962,41.65000153,G4951
G4953,Bahir Dar,11.55000019,37.34999847,G4953
G4954,Na,11.05000019,41.65000153,G4954
G4957,Nr. BAHIR DAR,11.75,37.65000153,G4957
G4965,Nr. ADDIS ZEMEN,12.05000019,37.75,G4965
G4977,Nr. MARAWI,11.35000038,37.04999924,G4977
G4979,Na,10.05000019,35.75,G4979
G5056,Na,8.050000191,33.15000153,G5056
G5068,Na,7.650000095,42.04999924,G5068
G5076,Na,7.550000191,41.95000076,G5076
G5081,Na,7.349999905,42.15000153,G5081
G5115,Na,5.75,40.84999847,G5115
G5141,Na,4.349999905,41.95000076,G5141
G5173,Na,2.849999905,37.45000076,G5173
G6107,Abetlti,8.25,37.54999924,G6107
G6108,Woltkite,8.25,37.75,G6108
G6109,Asetndabo,7.75,37.25,G6109
G6110,Woltkite,8.350000381,37.54999924,G6110
G6111,Shetbe,7.449999809,36.34999847,G6111
